l1,net_value,tokens,option_test,option_test,option_test,option_test,option_test,price,price
l2,,ETH,net_value,balance,premium,delta,gamma,ETH,USD
2024-02-15 00:00:00,27774.008,0.0,9.998,10.018,-0.021,-0.002,-0.0,2778.068,1.0
2024-02-15 01:00:00,28199.069,0.0,9.996,10.018,-0.022,-0.006,-0.0,2821.064,1.0
2024-02-15 02:00:00,27806.577,0.0,9.997,10.018,-0.022,-0.003,-0.0,2781.52,1.0
2024-02-15 03:00:00,27894.063,0.0,9.997,10.018,-0.021,-0.003,-0.0,2790.243,1.0
2024-02-15 04:00:00,28029.977,0.0,9.996,10.018,-0.022,-0.005,-0.0,2804.007,1.0
2024-02-15 05:00:00,27978.382,0.0,9.996,10.018,-0.022,-0.004,-0.0,2798.818,1.0
2024-02-15 06:00:00,27724.801,0.0,9.997,10.018,-0.022,-0.002,-0.0,2773.423,1.0
2024-02-15 07:00:00,27792.271,0.0,9.997,10.018,-0.022,-0.003,-0.0,2780.172,1.0
2024-02-15 08:00:00,27760.769,0.0,9.998,10.018,-0.02,-0.002,-0.0,2776.66,1.0
2024-02-15 09:00:00,27843.287,0.0,9.998,10.018,-0.02,-0.003,-0.0,2784.83,1.0
2024-02-15 10:00:00,27928.354,0.0,9.998,10.018,-0.021,-0.003,-0.0,2793.45,1.0
2024-02-15 11:00:00,28030.869,0.0,9.997,10.018,-0.021,-0.004,-0.0,2803.9,1.0
2024-02-15 12:00:00,27953.051,0.0,9.997,10.018,-0.021,-0.004,-0.0,2796.06,1.0
2024-02-15 13:00:00,28003.297,0.0,9.998,10.018,-0.021,-0.004,-0.0,2801.03,1.0
2024-02-15 14:00:00,28130.536,0.0,9.998,10.018,-0.02,-0.005,-0.0,2813.56,1.0
2024-02-15 15:00:00,28549.333,0.0,9.996,10.018,-0.023,-0.01,-0.0,2856.19,1.0
2024-02-15 16:00:00,28278.433,0.0,9.996,10.018,-0.022,-0.007,-0.0,2828.89,1.0
2024-02-15 17:00:00,28300.358,0.0,9.997,10.018,-0.022,-0.007,-0.0,2830.97,1.0
2024-02-15 18:00:00,28165.957,0.0,9.998,10.018,-0.021,-0.005,-0.0,2817.3,1.0
2024-02-15 19:00:00,28264.698,0.0,9.998,10.018,-0.021,-0.006,-0.0,2827.12,1.0
2024-02-15 20:00:00,28366.293,0.0,9.998,10.018,-0.02,-0.007,-0.0,2837.14,1.0
2024-02-15 21:00:00,28306.404,0.0,9.998,10.018,-0.02,-0.006,-0.0,2831.15,1.0
2024-02-15 22:00:00,27963.542,0.0,9.999,10.018,-0.019,-0.004,-0.0,2796.55,1.0
2024-02-15 23:00:00,28160.865,0.0,9.999,10.018,-0.019,-0.005,-0.0,2816.34,1.0
2024-02-16 00:00:00,28262.791,0.0,9.999,10.018,-0.02,-0.006,-0.0,2826.59,1.0
2024-02-16 01:00:00,28410.685,0.0,9.998,10.018,-0.02,-0.008,-0.0,2841.58,1.0
2024-02-16 02:00:00,28448.063,0.0,9.998,10.018,-0.02,-0.008,-0.0,2845.29,1.0
2024-02-16 03:00:00,28489.501,0.0,9.998,10.018,-0.02,-0.008,-0.0,2849.52,1.0
2024-02-16 04:00:00,28483.002,0.0,9.998,10.018,-0.02,-0.008,-0.0,2848.87,1.0
2024-02-16 05:00:00,28410.085,0.0,9.998,10.018,-0.02,-0.008,-0.0,2841.52,1.0
2024-02-16 06:00:00,28441.664,0.0,9.998,10.018,-0.02,-0.008,-0.0,2844.65,1.0
2024-02-16 07:00:00,28352.546,0.0,9.998,10.018,-0.02,-0.007,-0.0,2835.68,1.0
2024-02-16 08:00:00,28194.173,0.0,10.001,10.018,-0.018,-0.005,-0.0,2819.22,1.0
2024-02-16 09:00:00,28185.778,0.0,10.0,10.018,-0.019,-0.005,-0.0,2818.662,1.0
2024-02-16 10:00:00,28118.133,0.0,10.0,10.018,-0.018,-0.004,-0.0,2811.757,1.0
2024-02-16 11:00:00,28295.075,0.0,10.0,10.018,-0.019,-0.006,-0.0,2829.592,1.0
2024-02-16 12:00:00,28258.34,0.0,10.0,10.018,-0.018,-0.006,-0.0,2825.721,1.0
2024-02-16 13:00:00,28466.435,0.0,9.999,10.018,-0.019,-0.008,-0.0,2846.928,1.0
2024-02-16 14:00:00,28418.781,0.0,9.999,10.018,-0.019,-0.008,-0.0,2842.106,1.0
2024-02-16 15:00:00,27997.472,0.0,10.0,10.018,-0.018,-0.003,-0.0,2799.607,1.0
2024-02-16 16:00:00,27776.639,0.0,10.0,10.018,-0.018,-0.002,-0.0,2777.525,1.0
2024-02-16 17:00:00,27875.355,0.0,10.001,10.018,-0.017,-0.002,-0.0,2787.173,1.0
2024-02-16 18:00:00,27794.721,0.0,10.002,10.018,-0.017,-0.001,-0.0,2779.028,1.0
2024-02-16 19:00:00,27831.925,0.0,10.002,10.018,-0.017,-0.002,-0.0,2782.747,1.0
2024-02-16 20:00:00,27644.499,0.0,10.002,10.018,-0.017,-0.0,-0.0,2763.98,1.0
2024-02-16 21:00:00,27833.52,0.0,10.002,10.018,-0.017,-0.002,-0.0,2782.907,1.0
2024-02-16 22:00:00,27929.699,0.0,10.002,10.018,-0.017,-0.003,-0.0,2792.467,1.0
2024-02-16 23:00:00,27918.337,0.0,10.002,10.018,-0.016,-0.002,-0.0,2791.275,1.0
